Difficulty,Avg Path Length,Avg Time
1,64.2,31.465504384040834
2,64.49999999999999,32.18844833374023
3,64.2,32.61407611370087
4,64.2,33.41733903884888
5,64.3,33.86375675201416
6,64.49999999999996,34.75447473526001
7,64.2,35.2542512178421
8,64.60000000000005,36.07094256877899
9,64.49999999999997,36.686964106559756
10,64.2,37.04013249874115
