Speed,CustomA*_Time,CustomA*_PathLength,DWA_Time,DWA_PathLength,AStarDWA_Time,AStarDWA_PathLength
0.5,38.92068259716034,59.750000000000355,0,0,35.64240097999573,56.03199999999994
1.0,20.46799268722534,63.00000000000007,15.727228689193726,56.34500000000006,15.958334350585938,56.34500000000006
1.5,0,0,30.418477296829224,56.58799999999998,31.00725951194763,56.58799999999998
2.0,0,0,26.581557178497313,56.97100000000002,26.922979497909544,56.97100000000002
2.5,0,0,25.09390766620636,56.879999999999065,24.84689781665802,56.879999999999065
3.0,0,0,24.062557435035707,57.00699999999914,24.327787852287294,57.00699999999914
3.5,0,0,24.57742009162903,57.231999999999154,24.187040758132934,57.231999999999154
4.0,0,0,25.224323797225953,58.00699999999915,25.314330554008485,58.00699999999915
4.5,0,0,25.847919249534606,58.152999999999224,26.1445631980896,58.152999999999224
5.0,0,0,25.838353633880615,58.152999999999224,26.18104648590088,58.152999999999224
