Speed,CustomA*_Time,CustomA*_PathLength,DWA_Time,DWA_PathLength,AStarDWA_Time,AStarDWA_PathLength
0.5,34.63,59.75,24.77,42.65,30.81,56.03
1.0,18.02,63.00,13.98,56.35,13.94,56.35
1.5,0,0,21.15,56.59,22.52,56.59
2.0,0,0,17.90,56.97,19.03,56.97
2.5,0,0,16.23,56.88,20.35,56.88
3.0,0,0,23.40,57.01,22.74,57.01
3.5,0,0,20.86,57.23,20.61,57.23
4.0,0,0,18.50,58.01,18.39,58.01
4.5,0,0,21.98,58.15,22.08,58.15
